Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,ILF,EPP,FEZ
2018/2/21,118.3000031,57.64391327,125.6600037,160.9821625,254.4893951,105.4355545,18.43994331,98.31999969,34.94793701,42.59038544,37.54187775
2018/2/22,118.6100006,57.91073608,126.3000031,160.9626312,254.8192291,105.4355545,18.54709816,100.7200012,35.41611099,42.75144196,37.81825256
2018/2/23,118.3300018,58.75886536,126.1399994,164.2541504,258.8809204,105.4451065,18.60554314,102.1600037,35.66396713,43.22566605,38.0854187
2018/2/26,118.4800034,59.52122116,126.4499969,166.4322205,261.887085,105.4355545,18.64450645,102.8799973,35.87510681,43.68198395,38.39865494
2018/2/27,117.7200012,58.71121597,125.1299973,164.3713531,258.6170349,105.4451065,18.60554314,101.1999969,35.2141571,43.09144974,37.71691132
2018/2/28,117.4100037,58.19662476,125,163.3165283,255.9972076,105.4451065,18.67373276,98.95999908,34.56238174,42.67986298,37.35762024
2018/3/1,117.9700012,56.50989914,124.7200012,160.6500854,252.2748413,105.4681091,18.95622444,98.80000305,34.57155991,42.4740715,37.01673889
2018/3/2,118.6100006,57.14837646,125.3899994,162.1249237,253.5753326,105.4585342,18.88803482,98.95999908,34.67254257,42.54565048,36.99832153
2018/3/5,118.6699982,57.4056778,125.1800003,163.9220581,256.506134,105.4585342,19.12182045,100.7200012,34.93875885,42.46511841,37.25627136
2018/3/6,119.2900009,57.75826263,126.5299988,164.6155396,257.1564026,105.4681091,19.08285904,100.5599976,35.24169159,42.76039505,37.43132019
2018/3/7,119.3899994,57.27225494,125.7200012,164.9964294,257.0621338,105.4776535,18.91725922,98.80000305,34.76433563,42.50091171,37.65242767
2018/3/8,118.4599991,57.62485123,125.4199982,165.9048004,258.3061523,105.50634,18.97570419,97.19999695,34.64499664,42.69775772,37.68006516
2018/3/9,118.3899994,57.76779175,125.5400009,169.1279449,262.801239,105.50634,18.8490715,99.76000214,35.18661499,43.45830154,37.8090477
2018/3/12,118.6800003,57.82497406,125.5400009,170.0265503,262.471344,105.50634,18.87829399,98.95999908,35.34267044,43.57461548,37.85509872
2018/3/13,119.1100006,57.72967529,125.7799988,167.7117462,260.7750854,105.5159607,18.88803482,97.91999817,35.1223526,43.10039902,37.54187775
2018/3/14,118.9899979,57.9774437,125.6999969,167.6823883,259.4369202,105.50634,18.89777565,98.23999786,35.06727219,43.16303635,37.65242767
2018/3/15,118.3199997,58.09180069,124.9000015,167.5359344,259.1541748,105.4968033,18.78088379,98.72000122,34.3696022,42.87670517,37.68006516
2018/3/16,118.1699982,57.83449936,124.5999985,167.0377655,259.4352417,105.5254974,18.69321251,100.4000015,34.23190308,42.75144196,37.84343719
2018/3/19,118.6500015,56.85296249,124.8700027,163.4738464,255.9249725,105.5159607,18.35227394,100.4000015,33.80044556,42.50091171,37.5757637
2018/3/20,117.7799988,57.17696762,124.3099976,164.0119019,256.3601685,105.5159607,18.31330872,102.4800034,33.80044556,42.4740715,37.52037811
2018/3/21,118.7300034,57.25320435,126.4800034,163.29776,255.8681793,105.5541992,18.36201477,105.4400024,34.54401779,42.75144196,37.42808151
2018/3/22,118.4499969,56.72907639,125.9800034,159.2671509,249.4722137,105.5254974,18.36201477,103.5999985,33.81880569,41.70457458,36.62505722
2018/3/23,118.9100037,55.53788757,127.6100006,155.0702209,244.1548004,105.5637817,18.38149834,106.2399979,33.66274261,41.09614182,36.19124222
2018/3/26,119.7200012,56.32884216,128.2799988,160.8323975,250.834671,105.5541992,18.32304955,105.6800003,34.21354675,41.91037369,36.95734406
2018/3/27,119.2200012,56.46225357,127.4899979,155.6278839,246.5675354,105.5924988,18.21589851,104.6399994,33.54340744,41.27509689,36.48660278
2018/3/28,118.3099976,57.10072708,125.7300034,153.8376007,245.8389282,105.5733566,18.20615768,104.3199997,33.61685181,41.14088058,36.71736526
2018/3/29,118.3300018,57.82497406,125.7900009,156.6551056,248.9802094,105.6212082,18.32304955,104.7200012,34.48893738,41.57036591,37.16963577
2018/4/2,118.3300018,56.66237259,127.2600021,152.1353455,243.6060791,105.6144714,18.22563934,101.9199982,33.94732285,40.9708786,36.6065979
2018/4/3,117.9300003,57.37708664,126.3000031,153.8473816,246.7283478,105.6144714,18.11848831,102.4800034,34.10338211,41.38246536,37.00349808
2018/4/4,118.0800018,57.43426514,126.4499969,156.2735748,249.3681641,105.6240921,18.06978035,102.5599976,34.25944519,41.48088837,37.15118027
2018/4/5,117.6500015,57.72014999,125.8000031,157.1637878,251.3361816,105.6336517,18.33279037,102.6399994,34.51647949,41.5435257,37.56653214
2018/4/6,118.0999985,56.81484604,126.3899994,153.2310486,245.7348938,105.6336517,18.23538017,100.0800018,34.09420395,41.15877533,37.33578491
2018/4/9,118.4499969,57.31991196,126.8199997,154.3071289,246.9459839,105.6528168,18.4983902,102.1600037,33.44242859,41.51668167,37.70498276
2018/4/10,118.75,57.63438034,127.1200027,157.7116547,250.872467,105.6432419,18.40098,106,34.15846252,42.19669724,38.11110306
2018/4/11,118.8600006,57.49144745,128.1100006,156.8018341,249.5573883,105.6528168,18.41072083,107.5999985,34.56238174,42.21459198,37.90804672
2018/4/12,118.5100021,57.39614487,126.6200027,158.6899414,251.6104889,105.6528168,18.47890854,108.1600037,34.49812698,42.27722168,38.13879776
2018/4/13,118.5899963,57.39614487,127.4499969,157.8681641,250.872467,105.6623993,18.42046165,108.4000015,34.07584381,42.3040657,38.1757164
2018/4/16,118.9400024,57.55814743,127.6299973,159.0715027,252.9350891,105.6623993,18.36201477,107.0400009,33.69946671,42.23248291,38.32339478
